"id","label","CoSize","RiskLevel","TSLNo","outcome"
"1","C","small",NA,NA,NA
"2","C","small",NA,NA,NA
"3","C","small",NA,NA,NA
"4","C","small",NA,NA,NA
"5","C","small",NA,NA,NA
"6","C","small",NA,NA,NA
"7","C","small",NA,NA,NA
"8","C","small",NA,NA,NA
"9","C","small",NA,NA,NA
"10","C","small",NA,NA,NA
"11","C","small",NA,NA,NA
"12","C","small",NA,NA,NA
"13","C","small",NA,NA,NA
"14","C","small",NA,NA,NA
"15","C","small",NA,NA,NA
"16","C","small",NA,NA,NA
"17","C","small",NA,NA,NA
"18","C","small",NA,NA,NA
"19","C","small",NA,NA,NA
"20","C","med",NA,NA,NA
"21","C","med",NA,NA,NA
"22","C","small",NA,NA,NA
"23","C","small",NA,NA,NA
"24","C","small",NA,NA,NA
"25","C","small",NA,NA,NA
"26","C","small",NA,NA,NA
"27","C","small",NA,NA,NA
"28","C","med",NA,NA,NA
"29","C","small",NA,NA,NA
"30","C","small",NA,NA,NA
"31","C","large",NA,NA,NA
"32","C","small",NA,NA,NA
"33","C","small",NA,NA,NA
"34","C","med",NA,NA,NA
"35","C","small",NA,NA,NA
"36","C","small",NA,NA,NA
"37","C","med",NA,NA,NA
"38","C","small",NA,NA,NA
"39","C","med",NA,NA,NA
"40","C","small",NA,NA,NA
"41","C","small",NA,NA,NA
"42","C","med",NA,NA,NA
"43","C","small",NA,NA,NA
"44","C","med",NA,NA,NA
"45","C","large",NA,NA,NA
"46","C","small",NA,NA,NA
"47","C","small",NA,NA,NA
"48","C","small",NA,NA,NA
"49","C","large",NA,NA,NA
"50","C","small",NA,NA,NA
"51","T",NA,"safe",NA,NA
"52","T",NA,"safe",NA,NA
"53","T",NA,"safe",NA,NA
"54","T",NA,"safe",NA,NA
"55","T",NA,"safe",NA,NA
"56","T",NA,"safe",NA,NA
"57","T",NA,"safe",NA,NA
"58","T",NA,"safe",NA,NA
"59","T",NA,"safe",NA,NA
"60","T",NA,"safe",NA,NA
"61","T",NA,"safe",NA,NA
"62","T",NA,"safe",NA,NA
"63","T",NA,"safe",NA,NA
"64","T",NA,"safe",NA,NA
"65","T",NA,"safe",NA,NA
"66","T",NA,"safe",NA,NA
"67","T",NA,"safe",NA,NA
"68","T",NA,"safe",NA,NA
"69","T",NA,"safe",NA,NA
"70","T",NA,"safe",NA,NA
"71","T",NA,"safe",NA,NA
"72","T",NA,"safe",NA,NA
"73","T",NA,"safe",NA,NA
"74","T",NA,"safe",NA,NA
"75","T",NA,"safe",NA,NA
"76","T",NA,"safe",NA,NA
"77","T",NA,"safe",NA,NA
"78","T",NA,"safe",NA,NA
"79","T",NA,"safe",NA,NA
"80","T",NA,"safe",NA,NA
"81","T",NA,"safe",NA,NA
"82","T",NA,"safe",NA,NA
"83","T",NA,"safe",NA,NA
"84","T",NA,"safe",NA,NA
"85","T",NA,"safe",NA,NA
"86","T",NA,"safe",NA,NA
"87","T",NA,"safe",NA,NA
"88","T",NA,"safe",NA,NA
"89","T",NA,"safe",NA,NA
"90","T",NA,"safe",NA,NA
"91","T",NA,"safe",NA,NA
"92","T",NA,"safe",NA,NA
"93","T",NA,"safe",NA,NA
"94","T",NA,"safe",NA,NA
"95","T",NA,"safe",NA,NA
"96","T",NA,"safe",NA,NA
"97","T",NA,"safe",NA,NA
"98","T",NA,"safe",NA,NA
"99","T",NA,"safe",NA,NA
"100","T",NA,"safe",NA,NA
"101","T",NA,"safe",NA,NA
"102","T",NA,"risky",NA,NA
"103","T",NA,"risky",NA,NA
"104","T",NA,"risky",NA,NA
"105","T",NA,"risky",NA,NA
"106","T",NA,"risky",NA,NA
"107","T",NA,"risky",NA,NA
"108","T",NA,"risky",NA,NA
"109","T",NA,"risky",NA,NA
"110","T",NA,"risky",NA,NA
"111","T",NA,"risky",NA,NA
